121 200
0 0 0
1 0 0
1 1 0
0 1 0
1 2 0
0 2 0
1 3 0
0 3 0
1 4 0
0 4 0
1 5 0
0 5 0
1 6 0
0 6 0
1 7 0
0 7 0
1 8 0
0 8 0
1 9 0
0 9 0
1 10 0
0 10 0
2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
3 0 0
3 1 0
3 2 0
3 3 0
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 9 0
3 10 0
4 0 0
4 1 0
4 2 0
4 3 0
4 4 0
4 5 0
4 6 0
4 7 0
4 8 0
4 9 0
4 10 0
5 0 0
5 1 0
5 2 0
5 3 0
5 4 0
5 5 0
5 6 0
5 7 0
5 8 0
5 9 0
5 10 0
6 0 0
6 1 0
6 2 0
6 3 0
6 4 0
6 5 0
6 6 0
6 7 0
6 8 0
6 9 0
6 10 0
7 0 0
7 1 0
7 2 0
7 3 0
7 4 0
7 5 0
7 6 0
7 7 0
7 8 0
7 9 0
7 10 0
8 0 0
8 1 0
8 2 0
8 3 0
8 4 0
8 5 0
8 6 0
8 7 0
8 8 0
8 9 0
8 10 0
9 0 0
9 1 0
9 2 0
9 3 0
9 4 0
9 5 0
9 6 0
9 7 0
9 8 0
9 9 0
9 10 0
10 0 0
10 1 0
10 2 0
10 3 0
10 4 0
10 5 0
10 6 0
10 7 0
10 8 0
10 9 0
10 10 0
0 1 2
0 3 2
3 2 4
3 5 4
5 4 6
5 7 6
7 6 8
7 9 8
9 8 10
9 11 10
11 10 12
11 13 12
13 12 14
13 15 14
15 14 16
15 17 16
17 16 18
17 19 18
19 18 20
19 21 20
1 22 23
1 2 23
2 23 24
2 4 24
4 24 25
4 6 25
6 25 26
6 8 26
8 26 27
8 10 27
10 27 28
10 12 28
12 28 29
12 14 29
14 29 30
14 16 30
16 30 31
16 18 31
18 31 32
18 20 32
22 33 34
22 23 34
23 34 35
23 24 35
24 35 36
24 25 36
25 36 37
25 26 37
26 37 38
26 27 38
27 38 39
27 28 39
28 39 40
28 29 40
29 40 41
29 30 41
30 41 42
30 31 42
31 42 43
31 32 43
33 44 45
33 34 45
34 45 46
34 35 46
35 46 47
35 36 47
36 47 48
36 37 48
37 48 49
37 38 49
38 49 50
38 39 50
39 50 51
39 40 51
40 51 52
40 41 52
41 52 53
41 42 53
42 53 54
42 43 54
44 55 56
44 45 56
45 56 57
45 46 57
46 57 58
46 47 58
47 58 59
47 48 59
48 59 60
48 49 60
49 60 61
49 50 61
50 61 62
50 51 62
51 62 63
51 52 63
52 63 64
52 53 64
53 64 65
53 54 65
55 66 67
55 56 67
56 67 68
56 57 68
57 68 69
57 58 69
58 69 70
58 59 70
59 70 71
59 60 71
60 71 72
60 61 72
61 72 73
61 62 73
62 73 74
62 63 74
63 74 75
63 64 75
64 75 76
64 65 76
66 77 78
66 67 78
67 78 79
67 68 79
68 79 80
68 69 80
69 80 81
69 70 81
70 81 82
70 71 82
71 82 83
71 72 83
72 83 84
72 73 84
73 84 85
73 74 85
74 85 86
74 75 86
75 86 87
75 76 87
77 88 89
77 78 89
78 89 90
78 79 90
79 90 91
79 80 91
80 91 92
80 81 92
81 92 93
81 82 93
82 93 94
82 83 94
83 94 95
83 84 95
84 95 96
84 85 96
85 96 97
85 86 97
86 97 98
86 87 98
88 99 100
88 89 100
89 100 101
89 90 101
90 101 102
90 91 102
91 102 103
91 92 103
92 103 104
92 93 104
93 104 105
93 94 105
94 105 106
94 95 106
95 106 107
95 96 107
96 107 108
96 97 108
97 108 109
97 98 109
99 110 111
99 100 111
100 111 112
100 101 112
101 112 113
101 102 113
102 113 114
102 103 114
103 114 115
103 104 115
104 115 116
104 105 116
105 116 117
105 106 117
106 117 118
106 107 118
107 118 119
107 108 119
108 119 120
108 109 120

